Shell for /hpcfs/juno/junogpu/xuhangkun/SoftWare/VsCode/.local/share/virtualenvs/tianchi_channel_1-2IKVIXD7 already activated.
No action taken to avoid nested environments.
If the cuda is avaliable ?
True
Start getting data...
Finish getting data ~ v ~
[Info] Training performance will be written to file: ./user_data/model_data/TextRCNN/TextRCNN_train.csv
Namespace(batch_size=128, bert_path='/hpcfs/juno/junogpu/xuhangkun/ML/MyselfProject/Test/tianchi_channel_1/user_data/bert', dropout=0.5, eda_alpha=0.0, epoch=100, fold_index=-1, fold_k=5, frazing_bert_encode=False, hidden_size=64, input='./tcdata/train.csv', label_smoothing=0.0, lr=0.0005, lstm_layer=2, max_len=100, model='TextRCNN', n_aug=0.0, nclass=29, nemb=100, no_word2vec_pretrain=True, ntokens=859, output_dir='./user_data/model_data/TextRCNN', pad_token=858, save_mode='best', save_per_epoch=5, save_start_epoch=5, seed=None, stop_early=False, tokenizer_path='/hpcfs/juno/junogpu/xuhangkun/ML/MyselfProject/Test/tianchi_channel_1/user_data/bert', word2vec_path='/hpcfs/juno/junogpu/xuhangkun/ML/MyselfProject/Test/tianchi_channel_1/user_data/word_pretrain/word2vector.model')
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
0th fold (total : 5)
Create model...
TextRCNNModel(
  (embed): Embedding(859, 100, padding_idx=858)
  (emb_dropout_layer): Dropout(p=0.5, inplace=False)
  (lstm): LSTM(100, 64, num_layers=2, batch_first=True, dropout=0.1, bidirectional=True)
  (W2): Linear(in_features=228, out_features=128, bias=True)
  (final_dropout_layer): Dropout(p=0.5, inplace=False)
  (fc): Linear(in_features=128, out_features=29, bias=True)
  (sigmoid): Sigmoid()
)
Start training...
[ Epoch 0 ]  - Training     loss : 0.35401 , acc : 0.876 , elapse : 0.22118 min  - Validation   loss : 0.22536 , acc : 0.930 , elapse : 0.04402 min    - [Info] The checkpoint file has been updated.
[ Epoch 1 ]  - Training     loss : 0.22740 , acc : 0.928 , elapse : 0.21722 min  - Validation   loss : 0.21724 , acc : 0.930 , elapse : 0.04405 min    - [Info] The checkpoint file has been updated.
[ Epoch 2 ]  - Training     loss : 0.22097 , acc : 0.928 , elapse : 0.21746 min  - Validation   loss : 0.21432 , acc : 0.930 , elapse : 0.04409 min    - [Info] The checkpoint file has been updated.
[ Epoch 3 ]  - Training     loss : 0.21579 , acc : 0.930 , elapse : 0.21725 min  - Validation   loss : 0.20346 , acc : 0.932 , elapse : 0.04413 min    - [Info] The checkpoint file has been updated.
[ Epoch 4 ]  - Training     loss : 0.20296 , acc : 0.933 , elapse : 0.21727 min  - Validation   loss : 0.18998 , acc : 0.937 , elapse : 0.04412 min    - [Info] The checkpoint file has been updated.
[ Epoch 5 ]  - Training     loss : 0.19440 , acc : 0.936 , elapse : 0.21744 min  - Validation   loss : 0.18660 , acc : 0.938 , elapse : 0.04410 min    - [Info] The checkpoint file has been updated.
[ Epoch 6 ]  - Training     loss : 0.18476 , acc : 0.938 , elapse : 0.21727 min  - Validation   loss : 0.16992 , acc : 0.944 , elapse : 0.04407 min    - [Info] The checkpoint file has been updated.
[ Epoch 7 ]  - Training     loss : 0.16856 , acc : 0.944 , elapse : 0.21722 min  - Validation   loss : 0.15901 , acc : 0.950 , elapse : 0.04410 min    - [Info] The checkpoint file has been updated.
[ Epoch 8 ]  - Training     loss : 0.15920 , acc : 0.946 , elapse : 0.21730 min  - Validation   loss : 0.15300 , acc : 0.952 , elapse : 0.04413 min    - [Info] The checkpoint file has been updated.
[ Epoch 9 ]  - Training     loss : 0.15406 , acc : 0.948 , elapse : 0.21728 min  - Validation   loss : 0.14747 , acc : 0.953 , elapse : 0.04413 min    - [Info] The checkpoint file has been updated.
[ Epoch 10 ]  - Training     loss : 0.15005 , acc : 0.949 , elapse : 0.21717 min  - Validation   loss : 0.14544 , acc : 0.954 , elapse : 0.04414 min    - [Info] The checkpoint file has been updated.
[ Epoch 11 ]  - Training     loss : 0.15014 , acc : 0.949 , elapse : 0.21907 min  - Validation   loss : 0.14466 , acc : 0.954 , elapse : 0.04412 min    - [Info] The checkpoint file has been updated.
[ Epoch 12 ]  - Training     loss : 0.14784 , acc : 0.950 , elapse : 0.21750 min  - Validation   loss : 0.13975 , acc : 0.955 , elapse : 0.04397 min    - [Info] The checkpoint file has been updated.
[ Epoch 13 ]  - Training     loss : 0.14012 , acc : 0.951 , elapse : 0.21750 min  - Validation   loss : 0.12989 , acc : 0.957 , elapse : 0.04402 min    - [Info] The checkpoint file has been updated.
[ Epoch 14 ]  - Training     loss : 0.13292 , acc : 0.953 , elapse : 0.21749 min  - Validation   loss : 0.12453 , acc : 0.958 , elapse : 0.04418 min    - [Info] The checkpoint file has been updated.
[ Epoch 15 ]  - Training     loss : 0.12809 , acc : 0.954 , elapse : 0.21738 min  - Validation   loss : 0.11812 , acc : 0.960 , elapse : 0.04415 min    - [Info] The checkpoint file has been updated.
[ Epoch 16 ]  - Training     loss : 0.12402 , acc : 0.955 , elapse : 0.21757 min  - Validation   loss : 0.11388 , acc : 0.961 , elapse : 0.04420 min    - [Info] The checkpoint file has been updated.
[ Epoch 17 ]  - Training     loss : 0.12091 , acc : 0.957 , elapse : 0.21743 min  - Validation   loss : 0.11165 , acc : 0.962 , elapse : 0.04413 min    - [Info] The checkpoint file has been updated.
[ Epoch 18 ]  - Training     loss : 0.11897 , acc : 0.957 , elapse : 0.21742 min  - Validation   loss : 0.10719 , acc : 0.963 , elapse : 0.04414 min    - [Info] The checkpoint file has been updated.
